airport,iana_timezone,source
BFD,America/New_York,OpenFlights airports.dat
BFE,Europe/Berlin,OpenFlights airports.dat
BFF,America/Denver,OpenFlights airports.dat
BFH,America/Sao_Paulo,OpenFlights airports.dat
BFI,America/Los_Angeles,OpenFlights airports.dat
BFJ,Asia/Shanghai,OpenFlights airports.dat
BFK,America/Denver,OpenFlights airports.dat
BFL,America/Los_Angeles,OpenFlights airports.dat
BFM,America/Chicago,OpenFlights airports.dat
BFN,Africa/Johannesburg,OpenFlights airports.dat
BFO,Africa/Harare,OpenFlights airports.dat
BFP,America/New_York,OpenFlights airports.dat
BFS,Europe/London,OpenFlights airports.dat
BFT,America/New_York,OpenFlights airports.dat
BFV,Asia/Bangkok,OpenFlights airports.dat
BFW,Africa/Algiers,OpenFlights airports.dat
BFX,Africa/Douala,OpenFlights airports.dat
BGA,America/Bogota,OpenFlights airports.dat
BGC,Europe/Lisbon,OpenFlights airports.dat
BGE,America/New_York,OpenFlights airports.dat
BGF,Africa/Bangui,OpenFlights airports.dat
BGG,Europe/Istanbul,OpenFlights airports.dat
BGI,America/Barbados,OpenFlights airports.dat
BGM,America/New_York,OpenFlights airports.dat
BGO,Europe/Oslo,OpenFlights airports.dat
BGR,America/New_York,OpenFlights airports.dat
BGW,Asia/Baghdad,OpenFlights airports.dat
BGX,America/Sao_Paulo,OpenFlights airports.dat
BGY,Europe/Rome,OpenFlights airports.dat
BGZ,Europe/Lisbon,OpenFlights airports.dat
BHB,America/New_York,OpenFlights airports.dat
BHD,Europe/London,OpenFlights airports.dat
BHE,Pacific/Auckland,OpenFlights airports.dat
BHG,America/Tegucigalpa,OpenFlights airports.dat
BHH,Asia/Riyadh,OpenFlights airports.dat
BHI,America/Buenos_Aires,OpenFlights airports.dat
BHJ,Asia/Calcutta,OpenFlights airports.dat
BHK,Asia/Samarkand,OpenFlights airports.dat
BHM,America/Chicago,OpenFlights airports.dat
BHN,Asia/Aden,OpenFlights airports.dat
BHO,Asia/Calcutta,OpenFlights airports.dat
BHP,Asia/Katmandu,OpenFlights airports.dat
BHQ,Australia/Adelaide,OpenFlights airports.dat
BHR,Asia/Katmandu,OpenFlights airports.dat
BHS,Australia/Sydney,OpenFlights airports.dat
BHU,Asia/Calcutta,OpenFlights airports.dat
BHV,Asia/Karachi,OpenFlights airports.dat
BHW,Asia/Karachi,OpenFlights airports.dat
BHX,Europe/London,OpenFlights airports.dat
BHY,Asia/Shanghai,OpenFlights airports.dat
BIA,Europe/Paris,OpenFlights airports.dat
BID,America/New_York,OpenFlights airports.dat
BIF,America/Denver,OpenFlights airports.dat
BIG,America/Anchorage,OpenFlights airports.dat
BIH,America/Los_Angeles,AirNav supplement
BIK,Asia/Jayapura,OpenFlights airports.dat
BIL,America/Denver,OpenFlights airports.dat
BIM,America/Nassau,OpenFlights airports.dat
BIN,Asia/Kabul,OpenFlights airports.dat
BIO,Europe/Madrid,OpenFlights airports.dat
BIQ,Europe/Paris,OpenFlights airports.dat
BIR,Asia/Katmandu,OpenFlights airports.dat
BIS,America/Chicago,OpenFlights airports.dat
BIU,Atlantic/Reykjavik,OpenFlights airports.dat
BIX,America/Chicago,OpenFlights airports.dat
